Elec	X	Y
F7	0.095316954	0.206575587
T3	0	0.5
T5	0.095316954	0.793424413
Fp1	0.3454382	0.024693755
F3	0.214924473	0.161389016
C3	0.126379541	0.5
P3	0.214924473	0.838610984
O1	0.3454382	0.975306245
F8	0.904452383	0.206246102
T4	1	0.5
T6	0.904452383	0.793753898
Fp2	0.6545618	0.024693755
F4	0.784738405	0.161194855
C4	0.873596801	0.5
P4	0.784738405	0.838805145
O2	0.6545618	0.975306245
Fpz	0.5	0
Fz	0.5	0.142637766
Cz	0.5	0.5
Pz	0.5	0.857362234
Oz	0.5	1
A1	0.01	0.1
A2	0.99	0.1
FT7	0.024420682	0.345800826
TP7	0.024420682	0.654199174
CP3	0.14942216	0.682128946
FC3	0.14942216	0.317871054
CPz	0.5	0.693737424
FCz	0.5	0.306262576
CP4	0.85057784	0.682128946
FC4	0.85057784	0.317871054
TP8	0.975431458	0.654652216
FT8	0.975579318	0.345800826
















